"Timestamp","Which age group describes you?","In the next two years, will you be moving into a new space or doing a remodel of your living space?","How do you get home/room decorating ideas and decide on your purchases? (Choose all that apply)","Do you view your home/room design as an important way to express yourselves?","Do you find the current home/room decorating process out of date and in need of modernization?","Do you find home/room decorating design time-consuming and inconvenient?","Do you have trouble visualizing how furniture will look together in your home when you are making purchases?","Have your ever used Augmented Reality features before?","How helpful would a platform be that suggests home/room decorating recommendations specific to your taste and space?","Would an unbiased platform that provides design recommendations based on your needs and not selling products be helpful to you?","Are you interested in a platform where you can order all your design purchases (from the same or multiple companies) in one place?","Do you have problems with putting together and placing your design purchases after they arrive at your home?  Would an easy way to hire contractors to help be helpful?","Do you have any opinions on the current home/room decorating community, resources available, and ease of access?"
"2020/03/08 3:46:58 PM GMT","25-39 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc);Contracting Interior Designers;Friends/Family","5","3","4","4","No","4","4","4","3",""
"2020/03/08 3:50:59 PM GMT","25-39 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Search Engines (Google, catalogs, etc)","3","2","4","4","No","5","4","4","4",""
"2020/03/08 3:59:58 PM GMT","25-39 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc);Friends/Family","4","3","4","2","No","4","3","4","4",""
"2020/03/08 4:05:35 PM GMT","18-24 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Friends/Family","3","4","3","1","Yes","1","1","1","1","I am looking for a platform that helps people show up on time for meetings"
"2020/03/08 4:28:04 PM GMT","25-39 years old","Maybe","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc);Contracting Interior Designers","5","3","3","2","No","4","4","2","1",""
"2020/03/08 4:50:44 PM GMT","25-39 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc)","5","1","5","4","No","4","4","4","4",""
"2020/03/08 6:07:06 PM GMT","18-24 years old","Yes","Search Engines (Google, catalogs, etc);Friends/Family","4","3","5","5","No","4","4","4","4",""
"2020/03/08 6:55:32 PM GMT","18-24 years old","Yes","Friends/Family;Pinterest","4","4","3","1","No","3","4","4","3",""
"2020/03/08 8:38:36 PM GMT","18-24 years old","Yes","Search Engines (Google, catalogs, etc);Friends/Family","3","2","5","2","Yes","4","4","4","4",""
"2020/03/09 12:24:00 AM GMT","18-24 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Friends/Family","3","3","4","2","Yes","3","4","4","4",""
"2020/03/09 12:57:14 AM GMT","25-39 years old","No","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc)","5","4","4","4","No","4","5","4","4",""
"2020/03/09 1:08:46 AM GMT","25-39 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc);Contracting Interior Designers;Friends/Family","5","4","5","3","No","4","5","5","5",""
"2020/03/09 1:15:08 AM GMT","25-39 years old","No","Store websites (Amazon, Wayfair, etc)","4","4","3","4","No","4","3","4","3",""
"2020/03/09 1:19:38 AM GMT","18-24 years old","Yes","Friends/Family","1","5","1","5","No","1","1","1","1",""
"2020/03/09 6:19:24 AM GMT","25-39 years old","Maybe","Visiting stores (Furniture Stores, IKEA, Costco, etc);Search Engines (Google, catalogs, etc);Contracting Interior Designers;Friends/Family","5","4","3","4","No","5","5","5","5",""
"2020/03/09 9:40:40 AM GMT","25-39 years old","Maybe","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc)","5","3","4","2","No","3","3","5","5",""
"2020/03/09 2:00:05 PM GMT","25-39 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Search Engines (Google, catalogs, etc);Contracting Interior Designers","5","5","3","4","No","4","5","5","3",""
"2020/03/09 3:48:53 PM GMT","18-24 years old","Yes","Store websites (Amazon, Wayfair, etc);Friends/Family","2","3","5","1","No","1","3","2","1",""
"2020/03/09 4:44:22 PM GMT","18-24 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Store websites (Amazon, Wayfair, etc);Search Engines (Google, catalogs, etc)","5","4","2","2","No","5","5","5","5",""
"2020/03/09 6:09:54 PM GMT","18-24 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);IG accounts of home designers ","5","4","2","4","No","5","5","5","2","Make sure that we can be offered cheap alternatives to looks that can be expensive!!"
"2020/03/10 2:11:24 AM GMT","18-24 years old","Yes","Visiting stores (Furniture Stores, IKEA, Costco, etc);Search Engines (Google, catalogs, etc);Friends/Family","4","3","3","4","No","5","5","5","3",""
